Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00001 Position: X=-0.01730275, Y=-0.009883881, Z=0.06211662 
Frame 00002 Position: X=-0.04141533, Y=-0.02329016, Z=0.1438503 
Frame 00003 Position: X=-0.06016952, Y=-0.03349018, Z=0.2044392 
Frame 00004 Position: X=-0.07028461, Y=-0.03892517, Z=0.2362423 
Frame 00005 Position: X=-0.1040744, Y=-0.05680943, Z=0.3389091 
Frame 00006 Position: X=-0.113076, Y=-0.06151438, Z=0.3654804 
Frame 00007 Position: X=-0.1481889, Y=-0.0796814, Z=0.4666805 
Frame 00008 Position: X=-0.1717541, Y=-0.09173727, Z=0.5328064 
Frame 00009 Position: X=-0.195687, Y=-0.1038938, Z=0.5988159 
Frame 00010 Position: X=-0.2215497, Y=-0.1169519, Z=0.6691055 
Frame 00011 Position: X=-0.2473823, Y=-0.12993, Z=0.738472 
Frame 00012 Position: X=-0.2724937, Y=-0.1424999, Z=0.8052921 
Frame 00013 Position: X=-0.284892, Y=-0.1486936, Z=0.8381157 
Frame 00014 Position: X=-0.3241466, Y=-0.1682668, Z=0.9415741 
Frame 00015 Position: X=-0.3362411, Y=-0.1742916, Z=0.9733715 
Frame 00016 Position: X=-0.3602246, Y=-0.1862378, Z=1.036415 
Frame 00017 Position: X=-0.3841958, Y=-0.1981854, Z=1.09952 
Frame 00018 Position: X=-0.4235137, Y=-0.217823, Z=1.203577 
Frame 00019 Position: X=-0.4487131, Y=-0.2304554, Z=1.27087 
Frame 00020 Position: X=-0.4712411, Y=-0.2417917, Z=1.331604 
Frame 00021 Position: X=-0.4831178, Y=-0.2477889, Z=1.363892 
Frame 00022 Position: X=-0.5064904, Y=-0.2596402, Z=1.428083 
Frame 00023 Position: X=-0.5286222, Y=-0.2709351, Z=1.489822 
Frame 00024 Position: X=-0.5568481, Y=-0.2854681, Z=1.570242 
Frame 00025 Position: X=-0.591693, Y=-0.3036642, Z=1.672878 
Frame 00026 Position: X=-0.597924, Y=-0.3069549, Z=1.691715 
Frame 00027 Position: X=-0.6290002, Y=-0.3235765, Z=1.788425 
Frame 00028 Position: X=-0.6387082, Y=-0.3288541, Z=1.819753 
Frame 00029 Position: X=-0.6567301, Y=-0.3387847, Z=1.879665 
Frame 00030 Position: X=-0.6737345, Y=-0.3483472, Z=1.938728 
Frame 00031 Position: X=-0.7004145, Y=-0.3638601, Z=2.038095 
Frame 00032 Position: X=-0.7077057, Y=-0.3682432, Z=2.067137 
Frame 00033 Position: X=-0.7280924, Y=-0.3809695, Z=2.154538 
Frame 00034 Position: X=-0.7333686, Y=-0.3844113, Z=2.179109 
Frame 00035 Position: X=-0.7443581, Y=-0.391861, Z=2.233971 
Frame 00036 Position: X=-0.7590413, Y=-0.40272, Z=2.319176 
Frame 00037 Position: X=-0.7629995, Y=-0.4059386, Z=2.345982 
Frame 00038 Position: X=-0.7731749, Y=-0.4154229, Z=2.430788 
Frame 00039 Position: X=-0.7764815, Y=-0.4193182, Z=2.469034 
Frame 00040 Position: X=-0.779002, Y=-0.4231262, Z=2.509224 
Frame 00041 Position: X=-0.7807691, Y=-0.4298019, Z=2.590064 
Frame 00042 Position: X=-0.7803769, Y=-0.4314413, Z=2.613158 
Frame 00043 Position: X=-0.778001, Y=-0.4345307, Z=2.663094 
Frame 00044 Position: X=-0.7739598, Y=-0.4367056, Z=2.707525 
Frame 00045 Position: X=-0.7674862, Y=-0.4383402, Z=2.754395 
Frame 00046 Position: X=-0.7534979, Y=-0.4393249, Z=2.821751 
Frame 00047 Position: X=-0.7474895, Y=-0.4392576, Z=2.843122 
Frame 00048 Position: X=-0.7322044, Y=-0.4384742, Z=2.88714 
Frame 00049 Position: X=-0.7044126, Y=-0.4358449, Z=2.947074 
Frame 00050 Position: X=-0.6965728, Y=-0.4349332, Z=2.961194 
Frame 00051 Position: X=-0.6746873, Y=-0.432126, Z=2.996376 
Frame 00052 Position: X=-0.6368557, Y=-0.4266195, Z=3.046896 
Frame 00053 Position: X=-0.6160225, Y=-0.4233336, Z=3.070845 
Frame 00054 Position: X=-0.5789743, Y=-0.4171629, Z=3.108633 
Frame 00055 Position: X=-0.5639886, Y=-0.4145684, Z=3.122522 
Frame 00056 Position: X=-0.5133682, Y=-0.4054689, Z=3.164905 
Frame 00057 Position: X=-0.4665668, Y=-0.3966765, Z=3.199256 
Frame 00058 Position: X=-0.4239645, Y=-0.3884144, Z=3.227497 
Frame 00059 Position: X=-0.412601, Y=-0.3861737, Z=3.234628 
Frame 00060 Position: X=-0.3738855, Y=-0.3784337, Z=3.257835 
Frame 00061 Position: X=-0.3107878, Y=-0.3655005, Z=3.292669 
Frame 00062 Position: X=-0.2656262, Y=-0.3560252, Z=3.315804 
