Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00001 Rotation: X=-7.013274E-06, Y=0.003033445, Z=7.366889E-07, W=0.9999954 
Frame 00002 Rotation: X=-4.053057E-05, Y=0.005135145, Z=4.288539E-06, W=0.9999868 
Frame 00003 Rotation: X=-9.456769E-05, Y=0.007114047, Z=1.008833E-05, W=0.9999747 
Frame 00004 Rotation: X=-0.0001785691, Y=0.009276706, Z=1.920267E-05, W=0.999957 
Frame 00005 Rotation: X=-0.0002889699, Y=0.01136395, Z=3.1388E-05, W=0.9999354 
Frame 00006 Rotation: X=-0.0004170903, Y=0.01327498, Z=4.571756E-05, W=0.9999118 
Frame 00007 Rotation: X=-0.000587707, Y=0.01536116, Z=6.506788E-05, W=0.9998819 
Frame 00008 Rotation: X=-0.00079469, Y=0.01743662, Z=8.898187E-05, W=0.9998477 
Frame 00009 Rotation: X=-0.001026364, Y=0.01941147, Z=0.0001161348, W=0.9998111 
Frame 00010 Rotation: X=-0.001316056, Y=0.02153722, Z=0.000150572, W=0.9997672 
Frame 00011 Rotation: X=-0.001638051, Y=0.02358629, Z=0.0001894321, W=0.9997205 
Frame 00012 Rotation: X=-0.001992835, Y=0.02557718, Z=0.0002328721, W=0.9996709 
Frame 00013 Rotation: X=-0.002376387, Y=0.02749327, Z=0.0002803086, W=0.9996191 
Frame 00014 Rotation: X=-0.002826824, Y=0.02950396, Z=0.0003367531, W=0.9995607 
Frame 00015 Rotation: X=-0.003289277, Y=0.03135571, Z=0.0003954649, W=0.9995028 
Frame 00016 Rotation: X=-0.003792585, Y=0.03318501, Z=0.0004599286, W=0.999442 
Frame 00017 Rotation: X=-0.004363318, Y=0.03506423, Z=0.0005338045, W=0.9993754 
Frame 00018 Rotation: X=-0.005036195, Y=0.03707145, Z=0.0006220223, W=0.9992998 
Frame 00019 Rotation: X=-0.005644327, Y=0.03872913, Z=0.0007028228, W=0.9992336 
Frame 00020 Rotation: X=-0.006437316, Y=0.04070883, Z=0.0008095152, W=0.99915 
Frame 00021 Rotation: X=-0.007233561, Y=0.04252436, Z=0.0009173005, W=0.9990689 
Frame 00022 Rotation: X=-0.008068108, Y=0.04427351, Z=0.001030985, W=0.9989864 
Frame 00023 Rotation: X=-0.009016549, Y=0.04610066, Z=0.001161236, W=0.9988955 
Frame 00024 Rotation: X=-0.01006303, Y=0.04794858, Z=0.001306522, W=0.9987983 
Frame 00025 Rotation: X=-0.01127082, Y=0.04989484, Z=0.001474659, W=0.9986898 
Frame 00026 Rotation: X=-0.01249817, Y=0.0517013, Z=0.001646919, W=0.9985831 
Frame 00027 Rotation: X=-0.01379188, Y=0.05344238, Z=0.001828776, W=0.9984741 
Frame 00028 Rotation: X=-0.0151137, Y=0.055072, Z=0.002014608, W=0.998366 
Frame 00029 Rotation: X=-0.016599, Y=0.05675162, Z=0.00222266, W=0.9982479 
Frame 00030 Rotation: X=-0.01827108, Y=0.05846816, Z=0.002455723, W=0.9981191 
Frame 00031 Rotation: X=-0.02000473, Y=0.06008562, Z=0.002696469, W=0.9979891 
Frame 00032 Rotation: X=-0.02162867, Y=0.06146935, Z=0.00292054, W=0.9978704 
Frame 00033 Rotation: X=-0.02357742, Y=0.06298506, Z=0.003186814, W=0.9977309 
Frame 00034 Rotation: X=-0.02534784, Y=0.06424145, Z=0.003426074, W=0.9976066 
Frame 00035 Rotation: X=-0.02744873, Y=0.06559286, Z=0.003705079, W=0.997462 
Frame 00036 Rotation: X=-0.02962544, Y=0.0668587, Z=0.003989899, W=0.9973146 
Frame 00037 Rotation: X=-0.03199415, Y=0.06809654, Z=0.004293483, W=0.9971563 
Frame 00038 Rotation: X=-0.03454106, Y=0.0692796, Z=0.004611568, W=0.9969885 
Frame 00039 Rotation: X=-0.03711632, Y=0.07033938, Z=0.004924983, W=0.9968202 
Frame 00040 Rotation: X=-0.04000666, Y=0.07137875, Z=0.005264252, W=0.9966328 
Frame 00041 Rotation: X=-0.04297489, Y=0.07229869, Z=0.00559957, W=0.996441 
Frame 00042 Rotation: X=-0.04578009, Y=0.0730432, Z=0.005903349, W=0.99626 
Frame 00043 Rotation: X=-0.04875533, Y=0.07370885, Z=0.006210345, W=0.996068 
Frame 00044 Rotation: X=-0.05187112, Y=0.0742804, Z=0.006514794, W=0.9958661 
Frame 00045 Rotation: X=-0.0550505, Y=0.07474379, Z=0.006807158, W=0.9956588 
Frame 00046 Rotation: X=-0.05857635, Y=0.07511596, Z=0.007107221, W=0.9954275 
Frame 00047 Rotation: X=-0.06240311, Y=0.07536649, Z=0.007403438, W=0.9951738 
Frame 00048 Rotation: X=-0.06609386, Y=0.07546644, Z=0.007658977, W=0.994926 
Frame 00049 Rotation: X=-0.06948708, Y=0.07543666, Z=0.007865659, W=0.9946954 
Frame 00050 Rotation: X=-0.07341642, Y=0.07525937, Z=0.008068975, W=0.9944249 
Frame 00051 Rotation: X=-0.07708421, Y=0.07496763, Z=0.008224497, W=0.9941681 
Frame 00052 Rotation: X=-0.08141354, Y=0.07446144, Z=0.00836097, W=0.9938599 
Frame 00053 Rotation: X=-0.08509129, Y=0.07389468, Z=0.008434596, W=0.9935935 
Frame 00054 Rotation: X=-0.0896706, Y=0.07303376, Z=0.008475262, W=0.9932539 
Frame 00055 Rotation: X=-0.09357819, Y=0.07216116, Z=0.008462382, W=0.9929574 
Frame 00056 Rotation: X=-0.09810434, Y=0.0709931, Z=0.008390605, W=0.9926053 
Frame 00057 Rotation: X=-0.1026544, Y=0.06964824, Z=0.008254406, W=0.9922414 
Frame 00058 Rotation: X=-0.107296, Y=0.06810125, Z=0.008047478, W=0.9918594 
Frame 00059 Rotation: X=-0.1121098, Y=0.06632398, Z=0.007762877, W=0.9914496 
Frame 00060 Rotation: X=-0.116201, Y=0.06468001, Z=0.007465094, W=0.9910894 
Frame 00061 Rotation: X=-0.1209578, Y=0.06259305, Z=0.00704495, W=0.9906572 
Frame 00062 Rotation: X=-0.1255741, Y=0.06039477, Z=0.006562908, W=0.9902225 
