Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00001 Position: X=-0.01351184, Y=-0.007739544, Z=0.04878807 
Frame 00002 Position: X=-0.03016222, Y=-0.01707935, Z=0.1063118 
Frame 00003 Position: X=-0.05852818, Y=-0.03260422, Z=0.1992245 
Frame 00004 Position: X=-0.07360208, Y=-0.04069901, Z=0.2465534 
Frame 00005 Position: X=-0.09920701, Y=-0.05425549, Z=0.3244171 
Frame 00006 Position: X=-0.122108, Y=-0.06621408, Z=0.3918648 
Frame 00007 Position: X=-0.1316252, Y=-0.07114553, Z=0.4193878 
Frame 00008 Position: X=-0.1540903, Y=-0.08270931, Z=0.4833584 
Frame 00009 Position: X=-0.188861, Y=-0.1004348, Z=0.5800934 
Frame 00010 Position: X=-0.1989317, Y=-0.1055365, Z=0.6076889 
Frame 00011 Position: X=-0.2380526, Y=-0.1252494, Z=0.7135029 
Frame 00012 Position: X=-0.2498751, Y=-0.1311798, Z=0.7451286 
Frame 00013 Position: X=-0.2734244, Y=-0.1429653, Z=0.8077602 
Frame 00014 Position: X=-0.298407, Y=-0.1554375, Z=0.8738022 
Frame 00015 Position: X=-0.3459675, Y=-0.1791363, Z=0.9989357 
Frame 00016 Position: X=-0.3678856, Y=-0.1900549, Z=1.056566 
Frame 00017 Position: X=-0.3993791, Y=-0.205761, Z=1.139599 
Frame 00018 Position: X=-0.4203172, Y=-0.2162237, Z=1.19508 
Frame 00019 Position: X=-0.4320465, Y=-0.2220955, Z=1.226297 
Frame 00020 Position: X=-0.457921, Y=-0.2350831, Z=1.29562 
Frame 00021 Position: X=-0.4819199, Y=-0.2471833, Z=1.360624 
Frame 00022 Position: X=-0.5180979, Y=-0.2655544, Z=1.460335 
Frame 00023 Position: X=-0.5301834, Y=-0.2717352, Z=1.494219 
Frame 00024 Position: X=-0.552018, Y=-0.2829695, Z=1.556328 
Frame 00025 Position: X=-0.5734144, Y=-0.2940788, Z=1.61851 
Frame 00026 Position: X=-0.5949038, Y=-0.3053584, Z=1.682564 
Frame 00027 Position: X=-0.6264127, Y=-0.3221774, Z=1.780174 
Frame 00028 Position: X=-0.6357815, Y=-0.3272581, Z=1.810245 
Frame 00029 Position: X=-0.6534638, Y=-0.3369708, Z=1.86862 
Frame 00030 Position: X=-0.6799214, Y=-0.3518825, Z=1.960954 
Frame 00031 Position: X=-0.6866146, Y=-0.3557458, Z=1.985511 
Frame 00032 Position: X=-0.7096137, Y=-0.3694024, Z=2.074903 
Frame 00033 Position: X=-0.7236069, Y=-0.378098, Z=2.13437 
Frame 00034 Position: X=-0.7297624, Y=-0.382051, Z=2.16221 
Frame 00035 Position: X=-0.7474105, Y=-0.3940148, Z=2.250324 
Frame 00036 Position: X=-0.7574112, Y=-0.4014401, Z=2.308743 
Frame 00037 Position: X=-0.7655469, Y=-0.408114, Z=2.364594 
Frame 00038 Position: X=-0.7687482, Y=-0.4110022, Z=2.390018 
Frame 00039 Position: X=-0.7743098, Y=-0.4166794, Z=2.442858 
Frame 00040 Position: X=-0.778128, Y=-0.421658, Z=2.493347 
Frame 00041 Position: X=-0.7808, Y=-0.428668, Z=2.575035 
Frame 00042 Position: X=-0.7807305, Y=-0.4301014, Z=2.594154 
Frame 00043 Position: X=-0.7766842, Y=-0.4354286, Z=2.680056 
Frame 00044 Position: X=-0.775432, Y=-0.4360871, Z=2.693626 
Frame 00045 Position: X=-0.7657455, Y=-0.4385982, Z=2.764615 
Frame 00046 Position: X=-0.7562057, Y=-0.4392858, Z=2.810945 
Frame 00047 Position: X=-0.7509466, Y=-0.4393191, Z=2.831213 
Frame 00048 Position: X=-0.7291756, Y=-0.4382477, Z=2.894666 
Frame 00049 Position: X=-0.7211275, Y=-0.4375629, Z=2.913288 
Frame 00050 Position: X=-0.7013949, Y=-0.4355011, Z=2.952621 
Frame 00051 Position: X=-0.6804004, Y=-0.4328914, Z=2.98771 
Frame 00052 Position: X=-0.6406237, Y=-0.427197, Z=3.042311 
Frame 00053 Position: X=-0.6275285, Y=-0.4251671, Z=3.057899 
Frame 00054 Position: X=-0.5821433, Y=-0.4177046, Z=3.105602 
Frame 00055 Position: X=-0.5509635, Y=-0.4122739, Z=3.134051 
Frame 00056 Position: X=-0.5348887, Y=-0.4093957, Z=3.147654 
