Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00001 Rotation: X=-2.234704E-06, Y=0.003213741, Z=2.374284E-07, W=0.9999949 
Frame 00002 Rotation: X=-2.723559E-05, Y=0.00510271, Z=2.874227E-06, W=0.999987 
Frame 00003 Rotation: X=-8.230185E-05, Y=0.00729992, Z=8.773964E-06, W=0.9999734 
Frame 00004 Rotation: X=-0.000151145, Y=0.009098903, Z=1.62724E-05, W=0.9999586 
Frame 00005 Rotation: X=-0.0002636343, Y=0.01133647, Z=2.867597E-05, W=0.9999357 
Frame 00006 Rotation: X=-0.000394035, Y=0.01333145, Z=4.329054E-05, W=0.9999111 
Frame 00007 Rotation: X=-0.0005360314, Y=0.01513215, Z=5.939961E-05, W=0.9998854 
Frame 00008 Rotation: X=-0.0007120168, Y=0.01702967, Z=7.958418E-05, W=0.9998547 
Frame 00009 Rotation: X=-0.0009211861, Y=0.01894773, Z=0.0001039085, W=0.9998201 
Frame 00010 Rotation: X=-0.001183133, Y=0.02099536, Z=0.0001348451, W=0.9997789 
Frame 00011 Rotation: X=-0.001487081, Y=0.02305448, Z=0.0001712871, W=0.9997332 
Frame 00012 Rotation: X=-0.001804478, Y=0.02494287, Z=0.0002098978, W=0.9996873 
Frame 00013 Rotation: X=-0.002152368, Y=0.02679068, Z=0.0002526516, W=0.9996387 
Frame 00014 Rotation: X=-0.002574029, Y=0.02878694, Z=0.0003050748, W=0.9995822 
Frame 00015 Rotation: X=-0.003105843, Y=0.03101934, Z=0.0003722124, W=0.9995139 
Frame 00016 Rotation: X=-0.003663136, Y=0.03309537, Z=0.0004439277, W=0.9994454 
Frame 00017 Rotation: X=-0.004254136, Y=0.03507701, Z=0.0005207988, W=0.9993755 
Frame 00018 Rotation: X=-0.004919523, Y=0.03709394, Z=0.0006084809, W=0.9992995 
Frame 00019 Rotation: X=-0.005645696, Y=0.03909188, Z=0.0007048835, W=0.9992194 
Frame 00020 Rotation: X=-0.006369578, Y=0.04090451, Z=0.0008017921, W=0.9991425 
Frame 00021 Rotation: X=-0.007117763, Y=0.04262893, Z=0.0009030232, W=0.9990652 
Frame 00022 Rotation: X=-0.008068318, Y=0.04463913, Z=0.001033148, W=0.9989701 
Frame 00023 Rotation: X=-0.008979737, Y=0.0464018, Z=0.001159047, W=0.9988819 
Frame 00024 Rotation: X=-0.009957752, Y=0.04814295, Z=0.001294804, W=0.99879 
Frame 00025 Rotation: X=-0.01105691, Y=0.04993762, Z=0.001448162, W=0.9986901 
Frame 00026 Rotation: X=-0.01220795, Y=0.05165983, Z=0.001609422, W=0.9985889 
Frame 00027 Rotation: X=-0.01355853, Y=0.05350897, Z=0.001799441, W=0.9984738 
Frame 00028 Rotation: X=-0.01478423, Y=0.0550505, Z=0.001972356, W=0.9983722 
Frame 00029 Rotation: X=-0.01618912, Y=0.05667014, Z=0.002169678, W=0.9982594 
Frame 00030 Rotation: X=-0.01756693, Y=0.05813155, Z=0.00236283, W=0.9981516 
Frame 00031 Rotation: X=-0.01918513, Y=0.05971272, Z=0.002589372, W=0.9980279 
Frame 00032 Rotation: X=-0.02095758, Y=0.06128488, Z=0.002835432, W=0.9978963 
Frame 00033 Rotation: X=-0.02276852, Y=0.06274857, Z=0.003085017, W=0.9977649 
Frame 00034 Rotation: X=-0.02469289, Y=0.06416744, Z=0.003347051, W=0.997628 
Frame 00035 Rotation: X=-0.02688342, Y=0.06561998, Z=0.003640419, W=0.9974759 
Frame 00036 Rotation: X=-0.02907918, Y=0.06693152, Z=0.003930011, W=0.997326 
Frame 00037 Rotation: X=-0.03135835, Y=0.06816215, Z=0.004225413, W=0.9971724 
Frame 00038 Rotation: X=-0.03374869, Y=0.06931449, Z=0.004527514, W=0.9970136 
Frame 00039 Rotation: X=-0.03611398, Y=0.07032996, Z=0.00481833, W=0.9968582 
Frame 00040 Rotation: X=-0.0389333, Y=0.07139705, Z=0.005154377, W=0.9966745 
Frame 00041 Rotation: X=-0.04133994, Y=0.07219501, Z=0.005431805, W=0.9965187 
Frame 00042 Rotation: X=-0.04415785, Y=0.07301383, Z=0.005745836, W=0.9963363 
Frame 00043 Rotation: X=-0.04744942, Y=0.0738169, Z=0.006094716, W=0.9961237 
Frame 00044 Rotation: X=-0.05063028, Y=0.07445019, Z=0.00641385, W=0.995918 
Frame 00045 Rotation: X=-0.05414246, Y=0.07499957, Z=0.006743947, W=0.9956899 
Frame 00046 Rotation: X=-0.05740161, Y=0.0753786, Z=0.007028684, W=0.9954767 
Frame 00047 Rotation: X=-0.06081921, Y=0.07564821, Z=0.007303511, W=0.9952512 
Frame 00048 Rotation: X=-0.06469801, Y=0.07580467, Z=0.007584655, W=0.9949927 
Frame 00049 Rotation: X=-0.0683713, Y=0.07581146, Z=0.007819059, W=0.9947447 
Frame 00050 Rotation: X=-0.07210902, Y=0.07568249, Z=0.008024121, W=0.9944888 
Frame 00051 Rotation: X=-0.0759997, Y=0.07540805, Z=0.00820034, W=0.9942185 
Frame 00052 Rotation: X=-0.08027445, Y=0.07494733, Z=0.008348494, W=0.9939161 
Frame 00053 Rotation: X=-0.08439656, Y=0.07434673, Z=0.008443765, W=0.9936189 
Frame 00054 Rotation: X=-0.08860315, Y=0.07358112, Z=0.008491503, W=0.9933092 
Frame 00055 Rotation: X=-0.09283204, Y=0.07265468, Z=0.008485991, W=0.9929912 
Frame 00056 Rotation: X=-0.09706905, Y=0.07158354, Z=0.008429203, W=0.9926643 
