Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00001 Position: X=-0.007322669, Y=-0.004214287, Z=0.02670288 
Frame 00002 Position: X=-0.03488189, Y=-0.01969337, Z=0.1221752 
Frame 00003 Position: X=-0.04485816, Y=-0.02517605, Z=0.1551476 
Frame 00004 Position: X=-0.06330484, Y=-0.03517962, Z=0.2143574 
Frame 00005 Position: X=-0.08478236, Y=-0.04664564, Z=0.2809105 
Frame 00006 Position: X=-0.1172892, Y=-0.06370926, Z=0.377821 
Frame 00007 Position: X=-0.1393498, Y=-0.07513332, Z=0.4415359 
Frame 00008 Position: X=-0.1506284, Y=-0.08093357, Z=0.4735851 
Frame 00009 Position: X=-0.1751304, Y=-0.09345722, Z=0.5421829 
Frame 00010 Position: X=-0.2111174, Y=-0.1116934, Z=0.6408672 
Frame 00011 Position: X=-0.229479, Y=-0.1209416, Z=0.6904774 
Frame 00012 Position: X=-0.259427, Y=-0.1359639, Z=0.770586 
Frame 00013 Position: X=-0.2715988, Y=-0.1420527, Z=0.8029194 
Frame 00014 Position: X=-0.310848, Y=-0.1616402, Z=0.9065838 
Frame 00015 Position: X=-0.3233465, Y=-0.1678686, Z=0.9394703 
Frame 00016 Position: X=-0.3614095, Y=-0.1868281, Z=1.039532 
Frame 00017 Position: X=-0.3750564, Y=-0.1936288, Z=1.075441 
Frame 00018 Position: X=-0.4136778, Y=-0.2129035, Z=1.177456 
Frame 00019 Position: X=-0.4390514, Y=-0.2256064, Z=1.244999 
Frame 00020 Position: X=-0.4510212, Y=-0.2316146, Z=1.277065 
Frame 00021 Position: X=-0.4834512, Y=-0.2479572, Z=1.364799 
Frame 00022 Position: X=-0.5015258, Y=-0.2571168, Z=1.41437 
Frame 00023 Position: X=-0.5371671, Y=-0.2753181, Z=1.513951 
Frame 00024 Position: X=-0.5485041, Y=-0.2811551, Z=1.546247 
Frame 00025 Position: X=-0.571485, Y=-0.2930727, Z=1.612843 
Frame 00026 Position: X=-0.6050883, Y=-0.3107543, Z=1.713583 
Frame 00027 Position: X=-0.6139531, Y=-0.3154812, Z=1.740977 
Frame 00028 Position: X=-0.6338574, Y=-0.3262115, Z=1.804024 
Frame 00029 Position: X=-0.6634386, Y=-0.3425322, Z=1.902639 
Frame 00030 Position: X=-0.6796206, Y=-0.3517098, Z=1.959863 
Frame 00031 Position: X=-0.6967161, Y=-0.3616638, Z=2.023719 
Frame 00032 Position: X=-0.7024809, Y=-0.3650947, Z=2.046229 
Frame 00033 Position: X=-0.7159335, Y=-0.3732853, Z=2.101178 
Frame 00034 Position: X=-0.729833, Y=-0.3820968, Z=2.162536 
Frame 00035 Position: X=-0.7472813, Y=-0.3939228, Z=2.249619 
Frame 00036 Position: X=-0.7571906, Y=-0.4012685, Z=2.307353 
Frame 00037 Position: X=-0.7610727, Y=-0.4043503, Z=2.332648 
Frame 00038 Position: X=-0.7686676, Y=-0.4109268, Z=2.389343 
Frame 00039 Position: X=-0.7766023, Y=-0.419477, Z=2.470652 
Frame 00040 Position: X=-0.7782657, Y=-0.4218755, Z=2.495666 
Frame 00041 Position: X=-0.7807931, Y=-0.428544, Z=2.573433 
Frame 00042 Position: X=-0.7801098, Y=-0.4320393, Z=2.622066 
Frame 00043 Position: X=-0.7772939, Y=-0.4350457, Z=2.67263 
Frame 00044 Position: X=-0.7752565, Y=-0.4361687, Z=2.695385 
Frame 00045 Position: X=-0.76567, Y=-0.4386086, Z=2.765044 
Frame 00046 Position: X=-0.755784, Y=-0.4392953, Z=2.812686 
Frame 00047 Position: X=-0.7515383, Y=-0.4393234, Z=2.829074 
Frame 00048 Position: X=-0.7392771, Y=-0.4389219, Z=2.868207 
Frame 00049 Position: X=-0.7139231, Y=-0.4368649, Z=2.928553 
Frame 00050 Position: X=-0.7044916, Y=-0.4358535, Z=2.946927 
Frame 00051 Position: X=-0.6777351, Y=-0.4325371, Z=2.991794 
Frame 00052 Position: X=-0.6460939, Y=-0.4280248, Z=3.035498 
Frame 00053 Position: X=-0.6159777, Y=-0.423326, Z=3.070893 
Frame 00054 Position: X=-0.6025589, Y=-0.4211349, Z=3.085211 
Frame 00055 Position: X=-0.571819, Y=-0.4159303, Z=3.115354 
Frame 00056 Position: X=-0.5264838, Y=-0.4078717, Z=3.154515 
Frame 00057 Position: X=-0.5031058, Y=-0.4035692, Z=3.172784 
Frame 00058 Position: X=-0.4442526, Y=-0.3923774, Z=3.214363 
Frame 00059 Position: X=-0.4301338, Y=-0.3896246, Z=3.22356 
Frame 00060 Position: X=-0.3717346, Y=-0.3779993, Z=3.25908 
Frame 00061 Position: X=-0.3287273, Y=-0.369215, Z=3.283094 
Frame 00062 Position: X=-0.2948209, Y=-0.3621702, Z=3.301 
Frame 00063 Position: X=-0.2423585, Y=-0.3510776, Z=3.32725 
