Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00001 Rotation: X=2.306358E-06, Y=0.00294837, Z=-2.388477E-07, W=0.9999956 
Frame 00002 Rotation: X=-2.054536E-05, Y=0.005041027, Z=2.170446E-06, W=0.9999873 
Frame 00003 Rotation: X=-6.733007E-05, Y=0.007119083, Z=7.162487E-06, W=0.9999747 
Frame 00004 Rotation: X=-0.0001392534, Y=0.009230426, Z=1.493106E-05, W=0.9999574 
Frame 00005 Rotation: X=-0.0002258784, Y=0.01107554, Z=2.443392E-05, W=0.9999387 
Frame 00006 Rotation: X=-0.0003563549, Y=0.01318766, Z=3.900742E-05, W=0.999913 
Frame 00007 Rotation: X=-0.000509502, Y=0.01517246, Z=5.637899E-05, W=0.9998848 
Frame 00008 Rotation: X=-0.0007081926, Y=0.01732437, Z=7.916805E-05, W=0.9998497 
Frame 00009 Rotation: X=-0.0009048552, Y=0.01912841, Z=0.0001020249, W=0.9998167 
Frame 00010 Rotation: X=-0.001180083, Y=0.0212862, Z=0.0001345382, W=0.9997727 
Frame 00011 Rotation: X=-0.001434512, Y=0.02300964, Z=0.0001651345, W=0.9997342 
Frame 00012 Rotation: X=-0.001793332, Y=0.02516303, Z=0.0002087483, W=0.9996818 
Frame 00013 Rotation: X=-0.002139837, Y=0.02700031, Z=0.000251379, W=0.9996331 
Frame 00014 Rotation: X=-0.00257808, Y=0.02907149, Z=0.0003059528, W=0.999574 
Frame 00015 Rotation: X=-0.003001658, Y=0.03086227, Z=0.0003594801, W=0.9995191 
Frame 00016 Rotation: X=-0.003538318, Y=0.03290837, Z=0.0004280964, W=0.9994521 
Frame 00017 Rotation: X=-0.004103596, Y=0.03485286, Z=0.0005013237, W=0.9993839 
Frame 00018 Rotation: X=-0.004761416, Y=0.03689357, Z=0.0005875252, W=0.9993077 
Frame 00019 Rotation: X=-0.005416565, Y=0.03873587, Z=0.0006746043, W=0.9992346 
Frame 00020 Rotation: X=-0.006218598, Y=0.04078906, Z=0.000781906, W=0.9991481 
Frame 00021 Rotation: X=-0.007059849, Y=0.04274252, Z=0.0008957986, W=0.9990608 
Frame 00022 Rotation: X=-0.007872978, Y=0.04447516, Z=0.001006779, W=0.998979 
Frame 00023 Rotation: X=-0.008813318, Y=0.04631805, Z=0.001136454, W=0.9988872 
Frame 00024 Rotation: X=-0.009845074, Y=0.04817281, Z=0.001279795, W=0.9987897 
Frame 00025 Rotation: X=-0.01101649, Y=0.05009209, Z=0.001442984, W=0.9986828 
Frame 00026 Rotation: X=-0.01220017, Y=0.05186665, Z=0.001609353, W=0.9985782 
Frame 00027 Rotation: X=-0.01338269, Y=0.05349382, Z=0.001775892, W=0.9984769 
Frame 00028 Rotation: X=-0.01482346, Y=0.05530851, Z=0.00197837, W=0.9983574 
Frame 00029 Rotation: X=-0.01609629, Y=0.05677782, Z=0.002157332, W=0.9982548 
