Frame 00000 Rotation: X=0, Y=0, Z=0 
Frame 00001 Rotation: X=0.0002643687, Y=0.3378589, Z=-2.659059E-05 
Frame 00002 Rotation: X=-0.002355549, Y=0.5776616, Z=0.0002368435 
Frame 00003 Rotation: X=-0.007720947, Y=0.8157937, Z=0.0007658128 
Frame 00004 Rotation: X=-0.01596069, Y=1.057744, Z=0.001563608 
Frame 00005 Rotation: X=-0.02590942, Y=1.269189, Z=0.002513073 
Frame 00006 Rotation: X=-0.04089355, Y=1.511237, Z=0.003931012 
Frame 00007 Rotation: X=-0.05847168, Y=1.738699, Z=0.005573975 
Frame 00008 Rotation: X=-0.08129883, Y=1.985321, Z=0.007664711 
Frame 00009 Rotation: X=-0.1038818, Y=2.19208, Z=0.009705664 
Frame 00010 Rotation: X=-0.1355286, Y=2.43939, Z=0.012535 
Frame 00011 Rotation: X=-0.1647644, Y=2.636924, Z=0.01513566 
Frame 00012 Rotation: X=-0.2060242, Y=2.883746, Z=0.01874229 
Frame 00013 Rotation: X=-0.2459106, Y=3.094343, Z=0.02217487 
Frame 00014 Rotation: X=-0.2963257, Y=3.331759, Z=0.02645655 
Frame 00015 Rotation: X=-0.3450623, Y=3.537041, Z=0.0305586 
Frame 00016 Rotation: X=-0.4068604, Y=3.771599, Z=0.03568718 
Frame 00017 Rotation: X=-0.4719543, Y=3.994518, Z=0.04102435 
Frame 00018 Rotation: X=-0.5477295, Y=4.228476, Z=0.04715117 
Frame 00019 Rotation: X=-0.62323, Y=4.439692, Z=0.05320487 
Frame 00020 Rotation: X=-0.7156677, Y=4.675094, Z=0.06046199 
Frame 00021 Rotation: X=-0.8126526, Y=4.899067, Z=0.06798273 
Frame 00022 Rotation: X=-0.9064331, Y=5.097726, Z=0.07513557 
Frame 00023 Rotation: X=-1.014893, Y=5.30903, Z=0.08331814 
Frame 00024 Rotation: X=-1.133942, Y=5.521695, Z=0.09214757 
Frame 00025 Rotation: X=-1.269135, Y=5.74176, Z=0.1019249 
Frame 00026 Rotation: X=-1.405762, Y=5.94523, Z=0.1116783 
Frame 00027 Rotation: X=-1.542267, Y=6.131795, Z=0.1212013 
Frame 00028 Rotation: X=-1.708649, Y=6.339859, Z=0.1324416 
Frame 00029 Rotation: X=-1.855652, Y=6.508318, Z=0.1421287 
Frame 00030 Rotation: X=-2.050964, Y=6.713304, Z=0.1546925 
Frame 00031 Rotation: X=-2.216949, Y=6.872506, Z=0.1649683 
Frame 00032 Rotation: X=-2.405823, Y=7.03925, Z=0.176263 
Frame 00033 Rotation: X=-2.633972, Y=7.221689, Z=0.1891812 
Frame 00034 Rotation: X=-2.842133, Y=7.372688, Z=0.2004079 
Frame 00035 Rotation: X=-3.101868, Y=7.543491, Z=0.2137019 
Frame 00036 Rotation: X=-3.356354, Y=7.694108, Z=0.2259585 
Frame 00037 Rotation: X=-3.622131, Y=7.835019, Z=0.2377842 
Frame 00038 Rotation: X=-3.876434, Y=7.956494, Z=0.2482451 
Frame 00039 Rotation: X=-4.19278, Y=8.090758, Z=0.2600977 
Frame 00040 Rotation: X=-4.473206, Y=8.19574, Z=0.2695422 
Frame 00041 Rotation: X=-4.809326, Y=8.305934, Z=0.2795186 
Frame 00042 Rotation: X=-5.133911, Y=8.397598, Z=0.2877533 
Frame 00043 Rotation: X=-5.504578, Y=8.486016, Z=0.2954187 
Frame 00044 Rotation: X=-5.83136, Y=8.55068, Z=0.3006419 
Frame 00045 Rotation: X=-6.249664, Y=8.616241, Z=0.3051506 
Frame 00046 Rotation: X=-6.580505, Y=8.655641, Z=0.307037 
Frame 00047 Rotation: X=-6.970032, Y=8.688764, Z=0.3073179 
Frame 00048 Rotation: X=-7.392059, Y=8.709044, Z=0.3051626 
Frame 00049 Rotation: X=-7.812927, Y=8.713285, Z=0.3003462 
Frame 00050 Rotation: X=-8.256226, Y=8.701731, Z=0.2924336 
Frame 00051 Rotation: X=-8.683563, Y=8.675227, Z=0.2819258 
Frame 00052 Rotation: X=-9.192139, Y=8.625263, Z=0.2658178 
Frame 00053 Rotation: X=-9.701141, Y=8.555402, Z=0.2456437 
Frame 00054 Rotation: X=-10.14432, Y=8.479314, Z=0.2248639 
Frame 00055 Rotation: X=-10.67926, Y=8.369769, Z=0.1959693 
Frame 00056 Rotation: X=-11.17316, Y=8.249763, Z=0.1650864 
Frame 00057 Rotation: X=-11.67969, Y=8.109742, Z=0.1296261 
Frame 00058 Rotation: X=-12.12, Y=7.974013, Z=0.09564663 
Frame 00059 Rotation: X=-12.59543, Y=7.811748, Z=0.05536212 
Frame 00060 Rotation: X=-13.12195, Y=7.615075, Z=0.006956385 
Frame 00061 Rotation: X=-13.67438, Y=7.388638, Z=-0.04830933 
Frame 00062 Rotation: X=-14.17169, Y=7.167271, Z=-0.1018982 
Frame 00063 Rotation: X=-14.63281, Y=6.94886, Z=-0.1542969 
