Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00001 Position: X=-0.0004556179, Y=-0.0002636909, Z=0.001680374 
Frame 00002 Position: X=-0.02620852, Y=-0.01487923, Z=0.09288025 
Frame 00003 Position: X=-0.03979689, Y=-0.02240133, Z=0.1385098 
Frame 00004 Position: X=-0.06488079, Y=-0.03602695, Z=0.2193222 
Frame 00005 Position: X=-0.0745056, Y=-0.04118109, Z=0.2493534 
Frame 00006 Position: X=-0.1058055, Y=-0.05771589, Z=0.3440418 
Frame 00007 Position: X=-0.1161042, Y=-0.06309223, Z=0.3743572 
Frame 00008 Position: X=-0.1499936, Y=-0.08060789, Z=0.4717903 
Frame 00009 Position: X=-0.1732783, Y=-0.09251404, Z=0.5370426 
Frame 00010 Position: X=-0.1954558, Y=-0.1037769, Z=0.5981827 
Frame 00011 Position: X=-0.2202713, Y=-0.1163077, Z=0.6656532 
Frame 00012 Position: X=-0.2431206, Y=-0.1277928, Z=0.7270775 
Frame 00013 Position: X=-0.2660548, Y=-0.1392803, Z=0.7882061 
Frame 00014 Position: X=-0.2769084, Y=-0.1447062, Z=0.8169899 
Frame 00015 Position: X=-0.3014967, Y=-0.1569781, Z=0.8819485 
Frame 00016 Position: X=-0.3266547, Y=-0.1695166, Z=0.9481697 
Frame 00017 Position: X=-0.3656921, Y=-0.188962, Z=1.050795 
Frame 00018 Position: X=-0.3775237, Y=-0.1948586, Z=1.081938 
Frame 00019 Position: X=-0.4020089, Y=-0.2070737, Z=1.146553 
Frame 00020 Position: X=-0.4411289, Y=-0.2266488, Z=1.250553 
Frame 00021 Position: X=-0.4532893, Y=-0.2327542, Z=1.283159 
Frame 00022 Position: X=-0.4895793, Y=-0.2510581, Z=1.381546 
Frame 00023 Position: X=-0.5145128, Y=-0.2637258, Z=1.450346 
Frame 00024 Position: X=-0.5373548, Y=-0.2754149, Z=1.514483 
Frame 00025 Position: X=-0.5600505, Y=-0.2871275, Z=1.579505 
Frame 00026 Position: X=-0.5805815, Y=-0.2978263, Z=1.639679 
Frame 00027 Position: X=-0.6022786, Y=-0.3092623, Z=1.704979 
Frame 00028 Position: X=-0.6212203, Y=-0.3193789, Z=1.763735 
Frame 00029 Position: X=-0.6475134, Y=-0.3336825, Z=1.848719 
Frame 00030 Position: X=-0.6641546, Y=-0.3429341, Z=1.905116 
Frame 00031 Position: X=-0.6818447, Y=-0.3529882, Z=1.967953 
Frame 00032 Position: X=-0.6969768, Y=-0.3618183, Z=2.024725 
Frame 00033 Position: X=-0.7091491, Y=-0.3691196, Z=2.073006 
Frame 00034 Position: X=-0.7265804, Y=-0.3799963, Z=2.14767 
Frame 00035 Position: X=-0.7390744, Y=-0.388226, Z=2.20689 
Frame 00036 Position: X=-0.7473375, Y=-0.3939629, Z=2.249926 
Frame 00037 Position: X=-0.759748, Y=-0.4032822, Z=2.3238 
Frame 00038 Position: X=-0.7675707, Y=-0.4099164, Z=2.38036 
Frame 00039 Position: X=-0.7706337, Y=-0.4128098, Z=2.406393 
Frame 00040 Position: X=-0.7777547, Y=-0.4210892, Z=2.487329 
Frame 00041 Position: X=-0.77916, Y=-0.4234195, Z=2.512459 
Frame 00042 Position: X=-0.7807226, Y=-0.4278612, Z=2.564733 
Frame 00043 Position: X=-0.7793832, Y=-0.4331651, Z=2.639719 
Frame 00044 Position: X=-0.7760682, Y=-0.435771, Z=2.686975 
Frame 00045 Position: X=-0.7703371, Y=-0.4377794, Z=2.735845 
Frame 00046 Position: X=-0.766888, Y=-0.4384351, Z=2.75799 
Frame 00047 Position: X=-0.7510825, Y=-0.4393201, Z=2.830724 
Frame 00048 Position: X=-0.7415675, Y=-0.4390383, Z=2.861593 
Frame 00049 Position: X=-0.7223204, Y=-0.4376712, Z=2.910641 
Frame 00050 Position: X=-0.7029142, Y=-0.4356751, Z=2.949846 
Frame 00051 Position: X=-0.6831638, Y=-0.4332538, Z=2.983397 
