Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00001 Rotation: X=8.849061E-06, Y=0.003997663, Z=-9.125015E-07, W=0.999992 
Frame 00002 Rotation: X=-9.259933E-06, Y=0.005964818, Z=9.562723E-07, W=0.9999822 
Frame 00003 Rotation: X=-5.061099E-05, Y=0.00785732, Z=5.283483E-06, W=0.9999691 
Frame 00004 Rotation: X=-0.0001194103, Y=0.009887455, Z=1.257378E-05, W=0.9999511 
Frame 00005 Rotation: X=-0.0002082089, Y=0.0117682, Z=2.210313E-05, W=0.9999307 
Frame 00006 Rotation: X=-0.000327341, Y=0.01369099, Z=3.508128E-05, W=0.9999062 
Frame 00007 Rotation: X=-0.0004677172, Y=0.01551707, Z=5.05617E-05, W=0.9998795 
Frame 00008 Rotation: X=-0.000652844, Y=0.01750652, Z=7.123392E-05, W=0.9998466 
Frame 00009 Rotation: X=-0.0008451071, Y=0.01924177, Z=9.303197E-05, W=0.9998145 
Frame 00010 Rotation: X=-0.001099027, Y=0.02119925, Z=0.0001222711, W=0.9997747 
Frame 00011 Rotation: X=-0.001358177, Y=0.02294064, Z=0.0001524431, W=0.999736 
Frame 00012 Rotation: X=-0.001657359, Y=0.02471404, Z=0.00018774, W=0.9996932 
Frame 00013 Rotation: X=-0.002032361, Y=0.02667022, Z=0.0002326338, W=0.9996423 
Frame 00014 Rotation: X=-0.00240524, Y=0.02840901, Z=0.0002777193, W=0.9995935 
Frame 00015 Rotation: X=-0.002850776, Y=0.03027688, Z=0.000332089, W=0.9995375 
Frame 00016 Rotation: X=-0.003369497, Y=0.03221851, Z=0.0003961337, W=0.9994751 
Frame 00017 Rotation: X=-0.003892777, Y=0.03397812, Z=0.0004618316, W=0.9994149 
Frame 00018 Rotation: X=-0.004498819, Y=0.03582679, Z=0.0005386759, W=0.9993478 
Frame 00019 Rotation: X=-0.005133068, Y=0.03758627, Z=0.0006197848, W=0.99928 
Frame 00020 Rotation: X=-0.005893063, Y=0.03950627, Z=0.0007182765, W=0.9992017 
Frame 00021 Rotation: X=-0.006628096, Y=0.04120026, Z=0.0008146186, W=0.9991286 
Frame 00022 Rotation: X=-0.007541319, Y=0.04312254, Z=0.0009352491, W=0.9990409 
Frame 00023 Rotation: X=-0.008487545, Y=0.04494076, Z=0.001062128, W=0.998953 
Frame 00024 Rotation: X=-0.009433693, Y=0.04661122, Z=0.001189831, W=0.9988679 
Frame 00025 Rotation: X=-0.01044495, Y=0.04825901, Z=0.001327422, W=0.9987794 
Frame 00026 Rotation: X=-0.01164863, Y=0.05005327, Z=0.001491785, W=0.9986776 
Frame 00027 Rotation: X=-0.01274779, Y=0.05155762, Z=0.001642204, W=0.9985874 
Frame 00028 Rotation: X=-0.01422196, Y=0.05340639, Z=0.00184455, W=0.9984699 
Frame 00029 Rotation: X=-0.01574287, Y=0.05514186, Z=0.002053406, W=0.9983523 
Frame 00030 Rotation: X=-0.01732935, Y=0.05679515, Z=0.0022709, W=0.9982329 
Frame 00031 Rotation: X=-0.01891857, Y=0.05829684, Z=0.002486873, W=0.998117 
Frame 00032 Rotation: X=-0.02086032, Y=0.05996152, Z=0.002749111, W=0.9979789 
Frame 00033 Rotation: X=-0.02271605, Y=0.06140019, Z=0.002997312, W=0.9978502 
Frame 00034 Rotation: X=-0.02488684, Y=0.06292041, Z=0.003283673, W=0.9977028 
Frame 00035 Rotation: X=-0.02694049, Y=0.0642198, Z=0.00355121, W=0.9975658 
Frame 00036 Rotation: X=-0.02921356, Y=0.06551446, Z=0.00384217, W=0.9974165 
Frame 00037 Rotation: X=-0.03164425, Y=0.06675357, Z=0.004146425, W=0.997259 
Frame 00038 Rotation: X=-0.03425195, Y=0.06793659, Z=0.004465496, W=0.9970915 
Frame 00039 Rotation: X=-0.03659979, Y=0.06888343, Z=0.004744979, W=0.9969419 
Frame 00040 Rotation: X=-0.039526, Y=0.06992353, Z=0.005082706, W=0.9967561 
Frame 00041 Rotation: X=-0.04231863, Y=0.07078103, Z=0.005392988, W=0.9965792 
Frame 00042 Rotation: X=-0.04501253, Y=0.07149877, Z=0.005681066, W=0.9964083 
Frame 00043 Rotation: X=-0.04813248, Y=0.07220262, Z=0.005999979, W=0.9962099 
Frame 00044 Rotation: X=-0.05127987, Y=0.07278777, Z=0.006305639, W=0.9960083 
Frame 00045 Rotation: X=-0.05476215, Y=0.0732986, Z=0.00662306, W=0.9957834 
Frame 00046 Rotation: X=-0.05847088, Y=0.07369403, Z=0.006935748, W=0.9955412 
Frame 00047 Rotation: X=-0.06223055, Y=0.07394614, Z=0.007224476, W=0.9952925 
Frame 00048 Rotation: X=-0.06547133, Y=0.07404809, Z=0.007449184, W=0.9950753 
Frame 00049 Rotation: X=-0.06954656, Y=0.07403708, Z=0.00769954, W=0.9947978 
Frame 00050 Rotation: X=-0.07288865, Y=0.07391372, Z=0.007876314, W=0.9945663 
Frame 00051 Rotation: X=-0.07720219, Y=0.07360311, Z=0.008063546, W=0.9942623 
