Frame 00000 Rotation: X=0, Y=0, Z=0 
Frame 00001 Rotation: X=0.001014438, Y=0.4580996, Z=-0.0001005104 
Frame 00002 Rotation: X=-0.001061745, Y=0.6835219, Z=0.0001032495 
Frame 00003 Rotation: X=-0.00579834, Y=0.9003918, Z=0.0005598546 
Frame 00004 Rotation: X=-0.01370239, Y=1.133037, Z=0.001305484 
Frame 00005 Rotation: X=-0.02389526, Y=1.348567, Z=0.00225188 
Frame 00006 Rotation: X=-0.03756714, Y=1.56892, Z=0.003506086 
Frame 00007 Rotation: X=-0.05368042, Y=1.778194, Z=0.004961587 
Frame 00008 Rotation: X=-0.07495117, Y=2.006197, Z=0.00685189 
Frame 00009 Rotation: X=-0.09701538, Y=2.205074, Z=0.0087953 
Frame 00010 Rotation: X=-0.1262207, Y=2.429426, Z=0.01133829 
Frame 00011 Rotation: X=-0.1560059, Y=2.629018, Z=0.01389375 
Frame 00012 Rotation: X=-0.1903992, Y=2.832285, Z=0.01681324 
Frame 00013 Rotation: X=-0.2335205, Y=3.056509, Z=0.02043724 
Frame 00014 Rotation: X=-0.2764282, Y=3.255822, Z=0.02398153 
Frame 00015 Rotation: X=-0.3276672, Y=3.469939, Z=0.02814676 
Frame 00016 Rotation: X=-0.3873901, Y=3.692518, Z=0.03293042 
Frame 00017 Rotation: X=-0.4476318, Y=3.894237, Z=0.03773525 
Frame 00018 Rotation: X=-0.517395, Y=4.106173, Z=0.04321955 
Frame 00019 Rotation: X=-0.5904541, Y=4.307889, Z=0.04886509 
Frame 00020 Rotation: X=-0.678009, Y=4.528015, Z=0.05556821 
Frame 00021 Rotation: X=-0.7627258, Y=4.722231, Z=0.06197999 
Frame 00022 Rotation: X=-0.8680115, Y=4.942626, Z=0.06981163 
Frame 00023 Rotation: X=-0.9771118, Y=5.151092, Z=0.07788534 
Frame 00024 Rotation: X=-1.086212, Y=5.342617, Z=0.08581796 
Frame 00025 Rotation: X=-1.202881, Y=5.531542, Z=0.09418509 
Frame 00026 Rotation: X=-1.341736, Y=5.737259, Z=0.1039356 
Frame 00027 Rotation: X=-1.468597, Y=5.909734, Z=0.1126391 
Frame 00028 Rotation: X=-1.638733, Y=6.12169, Z=0.12406 
Frame 00029 Rotation: X=-1.814301, Y=6.32065, Z=0.1355074 
Frame 00030 Rotation: X=-1.997467, Y=6.510181, Z=0.147072 
Frame 00031 Rotation: X=-2.180969, Y=6.682323, Z=0.1581706 
Frame 00032 Rotation: X=-2.405182, Y=6.873137, Z=0.1712062 
Frame 00033 Rotation: X=-2.619476, Y=7.038037, Z=0.183091 
Frame 00034 Rotation: X=-2.870148, Y=7.212274, Z=0.1962256 
Frame 00035 Rotation: X=-3.1073, Y=7.361197, Z=0.2079981 
Frame 00036 Rotation: X=-3.369751, Y=7.509576, Z=0.2202061 
Frame 00037 Rotation: X=-3.650421, Y=7.651594, Z=0.2322553 
Frame 00038 Rotation: X=-3.951477, Y=7.787198, Z=0.2441508 
Frame 00039 Rotation: X=-4.222473, Y=7.89575, Z=0.2538626 
Frame 00040 Rotation: X=-4.560181, Y=8.015038, Z=0.2646767 
Frame 00041 Rotation: X=-4.882416, Y=8.11344, Z=0.2736282 
Frame 00042 Rotation: X=-5.193176, Y=8.195875, Z=0.281024 
Frame 00043 Rotation: X=-5.553009, Y=8.276823, Z=0.288055 
Frame 00044 Rotation: X=-5.915894, Y=8.344264, Z=0.2935349 
Frame 00045 Rotation: X=-6.31723, Y=8.403361, Z=0.2975856 
Frame 00046 Rotation: X=-6.744537, Y=8.449442, Z=0.2995388 
Frame 00047 Rotation: X=-7.17749, Y=8.479317, Z=0.2989941 
Frame 00048 Rotation: X=-7.550568, Y=8.492031, Z=0.2964384 
Frame 00049 Rotation: X=-8.01947, Y=8.492332, Z=0.29052 
Frame 00050 Rotation: X=-8.403839, Y=8.479718, Z=0.2833396 
Frame 00051 Rotation: X=-8.899719, Y=8.446446, Z=0.2708282 
